lonR,latR,depR
-117.55419,35.72788,6.815
-117.58154,35.60206,4.607
-117.58476,35.5828,7.242
-117.51662,35.717,6.894
-117.57183,35.75397,6.253
-117.58284,35.59836,4.116
-117.55089,35.74549,6.316
-117.58714,35.59356,4.71
-117.58463,35.61399,3.604
-117.50198,35.69662,6.26
-117.49692,35.68197,4.815
-117.49536,35.67773,5.604
-117.51482,35.66624,7.63
-117.5953,35.59581,3.502
-117.6129,35.58728,7.293
-117.57753,35.60393,4.623
-117.60366,35.58008,7.097
-117.54567,35.73915,5.339
-117.58772,35.62129,7.197
-117.56096,35.74877,4.955
-117.5814,35.60883,5.746
-117.58152,35.60214,4.559
-117.58739,35.61315,6.864
-117.53092,35.71562,5.808
-117.62223,35.57469,6.346
-117.58867,35.59698,4.576
-117.61755,35.56348,5.886
-117.50845,35.70134,6.69
-117.52685,35.71644,3.925
-117.62287,35.57401,6.369
-117.55866,35.74801,4.728
-117.49089,35.67685,6.161
-117.52219,35.72054,5.359
-117.61445,35.58263,7.382
-117.57011,35.743,3.392
-117.57694,35.7519,6.412
-117.60181,35.59468,3.727
-117.60013,35.61951,7.405
-117.61431,35.58519,7.447
-117.5554,35.74935,6.96
-117.60452,35.56563,5.474
-117.53608,35.73317,7.13
-117.59933,35.56886,6.282
-117.49656,35.67991,6.403
-117.59777,35.57102,6.705
-117.55347,35.73982,4.795
-117.52081,35.66598,8.147
-117.5106,35.70957,6.698
-117.53833,35.71907,5.55
-117.5742,35.74787,4.697
-117.5233,35.67619,7.774
-117.49772,35.67844,5.473
-117.47429,35.67832,5.457
-117.55834,35.74244,4.168
-117.55952,35.74339,4.206
-117.47823,35.68346,0.93
-117.52968,35.67071,9.251
-117.53798,35.74366,6.694
-117.59939,35.56887,6.236
-117.55434,35.77888,6.266
-117.51566,35.71793,5.288
-117.56501,35.75097,4.976
-117.59955,35.56841,6.356
-117.59874,35.5693,6.329
-117.59943,35.56825,6.406
-117.62082,35.57438,6.276
-117.59926,35.57004,6.072
-117.55672,35.77135,6.067
-117.57502,35.61848,6.552
-117.59825,35.5964,3.939
